Time (s),Altitude (m)
32.09375,764.897959183674
32.175,764.897959183674
32.25625,760
32.3375,760
32.41875,755.102040816327
32.5,755.102040816327
32.58125,755.102040816327
32.6625,750.204081632653
32.74375,750.204081632653
32.825,745.30612244898
32.90625,740.408163265306
32.9875,740.408163265306
33.06875,730.612244897959
33.15,730.612244897959
33.23125,730.612244897959
33.3125,730.612244897959
33.39375,730.612244897959
33.475,725.714285714286
33.55625,725.714285714286
33.6375,725.714285714286
33.71875,715.918367346939
33.8,720.816326530612
33.88125,720.816326530612
33.9625,711.020408163265
34.04375,706.122448979592
34.125,706.122448979592
34.20625,706.122448979592
34.2875,706.122448979592
34.36875,706.122448979592
34.45,691.428571428572
34.53125,686.530612244898
34.6125,681.632653061224
34.69375,681.632653061224
34.775,681.632653061224
34.85625,681.632653061224
34.9375,676.734693877551
35.01875,671.836734693878
35.1,671.836734693878
35.18125,666.938775510204
35.2625,662.040816326531
35.34375,657.142857142857
35.425,657.142857142857
35.50625,652.244897959184
35.5875,647.34693877551
35.66875,642.448979591837
35.75,652.244897959184
35.83125,642.448979591837
35.9125,637.551020408163
35.99375,632.65306122449
36.2375,627.755102040816
36.31875,622.857142857143
36.4,617.959183673469
36.48125,613.061224489796
36.5625,608.163265306123
36.64375,603.265306122449
36.725,598.367346938775
36.80625,593.469387755102
36.8875,593.469387755102
36.96875,588.571428571429
37.05,588.571428571429
37.13125,588.571428571429
37.2125,583.673469387755
37.29375,583.673469387755
37.375,583.673469387755
37.45625,583.673469387755
37.5375,578.775510204082
37.61875,578.775510204082
37.7,573.877551020408
37.78125,568.979591836735
37.8625,564.081632653061
37.94375,564.081632653061
38.025,564.081632653061
38.10625,559.183673469388
38.1875,559.183673469388
38.26875,559.183673469388
38.35,559.183673469388
38.43125,559.183673469388
38.5125,554.285714285714
38.59375,549.387755102041
38.675,544.489795918367
38.75625,544.489795918367
38.8375,539.591836734694
38.91875,534.693877551021
39,529.795918367347
39.08125,529.795918367347
39.1625,529.795918367347
39.24375,524.897959183673
39.325,524.897959183673
39.40625,520
39.4875,520
39.56875,520
39.65,515.102040816327
39.73125,515.102040816327
39.8125,510.204081632653
39.89375,505.30612244898
39.975,505.30612244898
40.05625,500.408163265306
40.1375,495.510204081633
40.21875,485.714285714286
40.3,485.714285714286
40.38125,485.714285714286
40.4625,480.816326530612
40.54375,480.816326530612
40.625,471.020408163265
40.70625,471.020408163265
40.7875,471.020408163265
40.86875,475.918367346939
40.95,471.020408163265
41.03125,466.122448979592
41.1125,461.224489795918
41.19375,461.224489795918
41.275,456.326530612245
41.35625,456.326530612245
41.4375,451.428571428572
41.51875,446.530612244898
41.6,441.632653061224
41.68125,441.632653061224
41.7625,441.632653061224
41.84375,436.734693877551
41.925,436.734693877551
42.00625,436.734693877551
42.0875,431.836734693878
42.16875,431.836734693878
42.25,431.836734693878
42.33125,426.938775510204
42.4125,426.938775510204
42.49375,422.040816326531
42.575,417.142857142857
42.65625,412.244897959184
42.7375,407.34693877551
42.81875,407.34693877551
42.9,402.448979591837
42.98125,397.551020408163
43.0625,397.551020408163
43.14375,392.65306122449
43.225,392.65306122449
43.30625,392.65306122449
43.3875,392.65306122449
43.46875,387.755102040816
43.55,382.857142857143
43.63125,382.857142857143
43.7125,373.061224489796
43.79375,368.163265306122
43.875,368.163265306122
43.95625,363.265306122449
44.0375,358.367346938776
44.11875,358.367346938776
44.2,358.367346938776
44.28125,358.367346938776
44.3625,353.469387755102
44.44375,343.673469387755
44.525,343.673469387755
44.60625,343.673469387755
44.6875,338.775510204082
44.76875,338.775510204082
44.85,333.877551020408
44.93125,333.877551020408
45.0125,333.877551020408
45.09375,333.877551020408
45.175,328.979591836735
45.25625,324.081632653061
